"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 12:46:11 IST 2022","Thu Nov 03 12:46:25 IST 2022","14243","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""beauty shot""",""
"passed","Thu Nov 03 12:45:57 IST 2022","Thu Nov 03 12:46:11 IST 2022","13090","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""autumn leaves""",""
"failed","Thu Nov 03 12:52:59 IST 2022","Thu Nov 03 12:53:10 IST 2022","10513","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""modern dance""",""
"passed","Thu Nov 03 12:31:25 IST 2022","Thu Nov 03 12:31:34 IST 2022","9525","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""feeling""",""
"failed","Thu Nov 03 12:33:16 IST 2022","Thu Nov 03 12:33:33 IST 2022","17534","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""graphical loop""",""
"passed","Thu Nov 03 12:36:31 IST 2022","Thu Nov 03 12:36:52 IST 2022","20775","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""muscle""",""
"failed","Thu Nov 03 12:54:58 IST 2022","Thu Nov 03 12:55:16 IST 2022","17475","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""slow motion""",""
"failed","Thu Nov 03 12:56:23 IST 2022","Thu Nov 03 12:56:24 IST 2022","849","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""stunning view/scenery""",""
"passed","Thu Nov 03 12:54:26 IST 2022","Thu Nov 03 12:54:33 IST 2022","7305","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""running water""",""
"failed","Thu Nov 03 12:54:33 IST 2022","Thu Nov 03 12:54:39 IST 2022","5309","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""school bus""",""
"failed","Thu Nov 03 12:57:47 IST 2022","Thu Nov 03 12:57:47 IST 2022","490","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""woman in a dreamy scene""",""
"passed","Thu Nov 03 12:51:12 IST 2022","Thu Nov 03 12:51:31 IST 2022","19792","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""green leaves""",""
"failed","Thu Nov 03 12:45:04 IST 2022","Thu Nov 03 12:45:25 IST 2022","21017","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""working out at home""",""
"failed","Thu Nov 03 12:45:25 IST 2022","Thu Nov 03 12:45:44 IST 2022","18927","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""yellow cab""",""
"passed","Thu Nov 03 12:25:40 IST 2022","Thu Nov 03 12:26:02 IST 2022","22786","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""black children""",""
"passed","Thu Nov 03 12:39:10 IST 2022","Thu Nov 03 12:39:35 IST 2022","24973","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""slow motion""",""
"failed","Thu Nov 03 12:48:41 IST 2022","Thu Nov 03 12:48:42 IST 2022","979","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""coffee berries""",""
"passed","Thu Nov 03 12:39:35 IST 2022","Thu Nov 03 12:39:55 IST 2022","20072","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""snack""",""
"failed","Thu Nov 03 12:45:56 IST 2022","Thu Nov 03 12:45:57 IST 2022","1873","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""authentic style""",""
"passed","Thu Nov 03 12:28:57 IST 2022","Thu Nov 03 12:29:19 IST 2022","21838","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""dramatic""",""
"failed","Thu Nov 03 12:23:22 IST 2022","Thu Nov 03 12:23:25 IST 2022","2888","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""amazing view/scenery""",""
"failed","Thu Nov 03 12:38:51 IST 2022","Thu Nov 03 12:38:53 IST 2022","1416","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""scorsese""",""
"failed","Thu Nov 03 12:44:21 IST 2022","Thu Nov 03 12:44:40 IST 2022","19363","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""woman falling with colorful light""",""
"passed","Thu Nov 03 12:49:48 IST 2022","Thu Nov 03 12:49:59 IST 2022","11821","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""effort""",""
"failed","Thu Nov 03 12:50:43 IST 2022","Thu Nov 03 12:50:47 IST 2022","3560","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""gender fluid""",""
"broken","Thu Nov 03 12:38:53 IST 2022","Thu Nov 03 12:39:10 IST 2022","17682","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""shapes""",""
"passed","Thu Nov 03 12:46:27 IST 2022","Thu Nov 03 12:46:38 IST 2022","11295","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""bird eye""",""
"failed","Thu Nov 03 12:48:43 IST 2022","Thu Nov 03 12:48:45 IST 2022","2322","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""cyberpunk""",""
"failed","Thu Nov 03 12:48:46 IST 2022","Thu Nov 03 12:48:46 IST 2022","591","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""documentary of domestic animals""",""
"failed","Thu Nov 03 12:57:05 IST 2022","Thu Nov 03 12:57:12 IST 2022","6203","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tribal""",""
"passed","Thu Nov 03 12:33:33 IST 2022","Thu Nov 03 12:33:51 IST 2022","18020","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""green leaves""",""
"passed","Thu Nov 03 12:29:38 IST 2022","Thu Nov 03 12:29:58 IST 2022","20328","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""earth""",""
"failed","Thu Nov 03 12:44:19 IST 2022","Thu Nov 03 12:44:21 IST 2022","1554","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wireframe""",""
"failed","Thu Nov 03 12:50:18 IST 2022","Thu Nov 03 12:50:22 IST 2022","4303","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""fast car""",""
"failed","Thu Nov 03 12:43:00 IST 2022","Thu Nov 03 12:43:01 IST 2022","845","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""valetines""",""
